Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,Comments
..,Modules.Analytics,AnalyticsView,AnalyticsView,Magic Number,The method contains a magic number: 400,14,This number comes into the statement System.exit(400); so we can not remove this.
..,Modules.Analytics.controller,AnalyticsController,createAnalyticsInCSVFormat,Long Statement,"The length of the statement ""String[] data1={String.valueOf(ad.parking_slot_id)`ad.address`getLocationString(ad.longitude`ad.latitude)`String.valueOf(ad.revenue_generated)`String.valueOf(ad.total_hours)};"" is 175.",22,This is just a SQL query thus we can not devide it into multiple sentences.
..,Modules.Analytics.controller,AnalyticsController,getTimeLength,Magic Number,The method contains a magic number: 60,106,60 is needed to convert minutes into the hours.
..,Modules.Analytics.controller,AnalyticsController,getTimeLength,Magic Number,The method contains a magic number: 3600,106,3600 is needed to convert seconds into the hours.
..,Modules.Booking,BookingView,displayBookings,Long Statement,"The length of the statement ""String bookingDetail=""Booking reference id "" + b.getReference_id() + "" on date ""+ b.getBooking_date()+ "" from ""+ b.getStart_time()+ "" to ""+ b.getEnd_time()+ "" for parking id ""+ b.getParking_id();"" is 195.",9,This is just a SQL query thus we can not devide it into multiple sentences.
..,Modules.Booking,BookingUtilitiesTest,bookingPositiveTest,Long Statement,"The length of the statement ""Mockito.when(Mockito.mock(BookingController.class).sendEmailNotification(Constants.loggedInUser.email`""test"")).thenReturn(true);"" is 128.",33,This is a java syntax for testcases. 
..,Modules.Booking,BookingUtilitiesTest,testEditBookingPositiveCase,Magic Number,The method contains a magic number: 2023,48,For testing purpose.
..,Modules.Booking,BookingUtilitiesTest,testEditBookingPositiveCase,Magic Number,The method contains a magic number: 2,48,For testing purpose.
..,Modules.Booking,BookingUtilitiesTest,testEditBookingPositiveCase,Magic Number,The method contains a magic number: 23,48,For testing purpose.
..,Modules.Booking,BookingUtilitiesTest,testBookingModel,Magic Number,The method contains a magic number: 2,92,For testing purpose.
..,Modules.Booking,BookingUtilitiesTest,testBookingModel,Magic Number,The method contains a magic number: 20220410,92,For testing purpose.
..,Modules.Booking,BookingUtilitiesTest,testBookingModel,Magic Number,The method contains a magic number: 1120,92,For testing purpose.
..,Modules.Booking,BookingUtilitiesTest,testBookingModel,Magic Number,The method contains a magic number: 1340,92,For testing purpose.
..,Modules.Booking,BookingUtilitiesTest,testBookingModel,Magic Number,The method contains a magic number: 12,92,For testing purpose.
..,Modules.Booking,BookingUtilitiesTest,testBookingModel,Magic Number,The method contains a magic number: 2,92,For testing purpose.
..,Modules.Booking,BookingUtilitiesTest,testBookingModel,Magic Number,The method contains a magic number: 12,92,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 2022,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 2,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 24,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 10,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 30,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 11,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 30,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 210,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 111,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,bookingCreationAndRetreivingTest,Magic Number,The method contains a magic number: 56,26,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,editBookingDateTest,Magic Number,The method contains a magic number: 2022,51,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,editBookingDateTest,Magic Number,The method contains a magic number: 2,51,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,editBookingDateTest,Magic Number,The method contains a magic number: 27,51,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,editBookingTimeTest,Magic Number,The method contains a magic number: 14,56,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,editBookingTimeTest,Magic Number,The method contains a magic number: 20,56,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,editBookingTimeTest,Magic Number,The method contains a magic number: 15,56,For testing purpose.
..,Modules.Booking,Booking_Integration_Test,editBookingTimeTest,Magic Number,The method contains a magic number: 20,56,For testing purpose.
..,Modules.Booking.controller,BookingController,book_slot,Long Statement,"The length of the statement ""String query=""Insert into "" + tablename + "" (reference_id` client_user_id` owner_user_id` parking_id` date`start_time` end_time )""+ ""Values (?`?`?`?`?`?`?)"";"" is 157.",62,This is just a SQL query thus we can not devide it into multiple sentences.
..,Modules.Booking.controller,BookingController,book_slot,Long Statement,"The length of the statement ""sendEmailNotification(Constants.loggedInUser.email`""Your Parking has been confirmed for date: "" + new_slot.getBooking_date() + "" from ""+ new_slot.getStart_time()+ "" to ""+ new_slot.getEnd_time());"" is 195.",62,This is required to send email with all necessary parameters. 
